wav_file,time_gap,label,sig_mean,sig_std,rmse_mean,rmse_std,silence,harmonic,auto_corr_max,auto_corr_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std
Ses04M_script03_2_F050,0.02844731480413677,0,0.26816425346114636,0.2938713222192442,0.2694910629339805,0.3223188725391734,0.27015615962984385,0.14834215821191532,0.0697289461629341,0.01006186812451934,0.7387209008559715,0.31734246535311805,0.456329233542732,0.40715023003626105,0.26549457323631354,0.4602859168490355,0.14969762772639014,0.4230570306351023,0.4581413508204943,0.41496943515128576,0.457750321082922,0.38355649463480856,0.18023447948540766,0.2736429952808406,0.24012825276040084,0.4217160764176332,0.1401189949511279,0.5230485248790249,0.17111233809223045,0.517291051669861,0.5953059985358536,0.4916798025613435,0.7260878722769043,1.0,0.5622380687717993,0.8587062703790074
Ses03F_impro06_F031,0.12645984699957752,2,0.00040041883800412664,0.0005558286607102456,0.0004173855992570851,0.0014180533550967984,0.0,0.17078928461160792,1.6604851478145942e-06,1.8779045212813626e-06,0.010799054966092125,0.14234705554620816,0.8341723876003226,0.1353959019921535,0.4727129588710916,0.19492107989784968,0.5790588600807611,0.11309119318718294,0.527671166446464,0.08782210957585339,0.5139890871891789,0.06691735310631858,0.7446562793600079,0.05706669391411448,0.7201765853266693,0.0838089969031098,0.5309824245685626,0.1121286107638449,0.694897307662967,0.10649113879856026,0.5655689228229971,0.07196309826082764,0.6405865767583635,0.09096990788820997,0.6558656545729982,0.05576294778361013
Ses03M_script01_1_M033,0.08160150693883869,1,0.0033160219083542605,0.006387740611531484,0.0034786977820749168,0.012943532651006649,0.5328381193948726,0.1705558164697047,2.146719363623458e-05,1.1488110164447964e-05,0.13118687066274903,0.38794172180921715,0.46549080141166166,0.3235520410596183,0.673583748980466,0.37693596907555216,0.561932256691769,0.3775198020245886,0.5212367449502497,0.41522047186456906,0.6735845360692503,0.22074007831937667,0.6329254138205231,0.3504193327914974,0.775599179985851,0.2926820197331512,0.5641390769511148,0.3270000942335956,0.5484392773510683,0.318981283343195,0.6249621556197993,0.3512334549586588,0.43738561177587365,0.28881451769324124,0.5023604823454798,0.49485343865257264
Ses01F_script02_1_F003,0.04651520393649364,2,0.023515283362906585,0.03756652184471028,0.02512293360920689,0.06232847946123587,0.48969482529854047,0.1714019089549808,0.000563263956938094,0.00015986989321007913,0.4227443048846182,0.4284436859365264,0.5064062433205221,0.44874002620027353,0.5238058444905317,0.4126077230210599,0.42341324530518554,0.2857266400556942,0.35696195090198324,0.20822303644196355,0.46781162079665983,0.40412412854277013,0.5579285355822022,0.19037146703309646,0.7715733615953176,0.16765551753879818,0.594103090925231,0.3925406943328314,0.6422875712966811,0.26654381057828347,0.7158485859419453,0.22336296192668392,0.6783758700770982,0.1400650742430815,0.6527423123575223,0.16578465075453575
Ses04F_script01_1_F012,0.038826740475916666,0,0.04453927894514392,0.052102227456843904,0.0453571706837187,0.06472375872707399,0.29755761953904364,0.17262010441829823,0.0020316548495279666,0.00035876282993208664,0.43550669082394167,0.2887340445512981,0.4790664792708612,0.3277675313116085,0.5470724369217028,0.4636383835556185,0.49675792479114267,0.5536657150179762,0.6465670512477482,0.5418549777626871,0.6312058661302011,0.3492101489866253,0.31063049557507644,0.38306080398964404,0.38691302705928177,0.40965383407947786,0.5236663058200748,0.4455607316710262,0.512705656306071,0.34387837282626044,0.5917951724912006,0.4873099168100538,0.4890939128631986,0.37708530318340777,0.3353824267010234,0.45435137995684044
Ses05M_script01_2_F011,0.22796294160612046,1,0.038198084728999174,0.07502885654003363,0.03932765799683409,0.13721075969570212,0.6086707236027677,0.17194117395383865,0.0013907732708409567,0.0013481197608952804,0.4644625340032005,0.5109208046172152,0.11801634700860542,0.5514586650465741,0.7543628833650347,0.5933408153733396,0.3138586427609167,0.5840217243945067,0.2894039567576005,0.4397337736739398,0.6729208912075391,0.46585089285433634,0.33420787210341385,0.38958242626759476,0.7973769974287316,0.46124041304247176,0.7285684735264647,0.23665400793521024,0.3089463713644699,0.3339068252614644,0.7549500725771309,0.30967559098572556,0.6257450583883514,0.4494614303891264,0.20642382224680642,0.43453958873376847
Ses04F_impro08_F010,0.0995656018144787,1,0.048713417116957834,0.06087277595003197,0.050978634714460874,0.0802659337603935,0.319561880479746,0.1718890255227008,0.0023655757063469106,0.0008793074892046267,0.4701406336904329,0.369358343153827,0.46979774516208606,0.5095419596354666,0.4845340349645086,0.4177000984956929,0.44966989090126985,0.6091580403291179,0.6720189920887503,0.6563101147195066,0.6480964913640319,0.42382219953334876,0.35510023553153636,0.5466513372273186,0.4170584742826178,0.650871240117033,0.33721245495657154,0.4682824269948321,0.30716196758231573,0.45526798336564456,0.5626164607963283,0.7485761604845218,0.5622633500896861,0.29176992369609916,0.3911365116404546,0.4497658171260585
Ses04F_impro05_M007,0.1295506093107301,1,0.05479187291236492,0.08619174639170517,0.05790827459810264,0.14090541522333727,0.47864746135000413,0.17155201412472368,0.0028721384976773717,0.0017690299723923868,0.47418966854862077,0.6411362907938634,0.3225719530958835,0.7198421378150022,0.7228335051769739,0.6282455064740864,0.2868453853477492,0.4990967321748137,0.3999454421398852,0.423887828644219,0.7648198992710896,0.6229630326541655,0.28747876349270696,0.5792629327747318,0.4845308134101487,0.4265241586104297,0.5851949918231696,0.6107160364386872,0.2877949268101657,0.4703596155460297,0.6004074933566846,0.3537479517626895,0.5449726461275,0.4368516243622416,0.23844447377931172,0.5435962317096539
Ses04F_script02_2_F026,0.019221158651444612,2,0.005572066549322169,0.008088726441810346,0.005480176086080181,0.014163788838389764,0.3102710905704628,0.17107110901836514,4.618356498527325e-05,9.612352234144398e-06,0.14270034562360778,0.19096945327261838,0.5292128165061936,0.22562146338691252,0.7678441399793022,0.1681805260871218,0.5241852803849677,0.09395299311232172,0.5014247171793409,0.17864930678841595,0.6404376014157045,0.23118240418912292,0.4613684159138324,0.11285615570202381,0.7994104524688863,0.05758605572090378,0.686615527372141,0.0975781744589771,0.5171073574874863,0.18908287940634755,0.6698157048004718,0.15653643070803663,0.5212853526721655,0.08800226432248065,0.5306228693929411,0.11266507496241346
Ses05F_impro08_F000,0.037927190251028725,2,0.013645217321922835,0.01933833928654189,0.014183188900168198,0.027710551237632174,0.516855051536125,0.17081397215804703,0.00021749385872198748,4.927765235384979e-05,0.29237001905689464,0.31312238708041285,0.48593952092566517,0.30720703643766134,0.5896106067527559,0.26493231218900665,0.5064505131962471,0.35965236783372506,0.4786425345811929,0.2772249986776943,0.5140207545435305,0.31610459400876934,0.4835384059076052,0.44483780272934814,0.6436217706585702,0.2993038755003773,0.4865117935496529,0.2514102530689414,0.7376491112209065,0.42263864633736004,0.9182732418866634,0.4243701723141761,0.45403120046540824,0.20565789269360946,0.2650009912093998,0.27656899301848165
