,wav_file,label,sig_mean,sig_std,rmse_mean,rmse_std,silence,harmonic,auto_corr_max,auto_corr_std
0,Ses01M_impro01_F000,0,0.031213578,0.08417584,0.038141176,0.074892856,0.678082191780822,-0.3327673766762018,0.1161549557786623,0.6716311724233053
1,Ses01M_impro01_F001,0,0.028566057,0.04696335,0.035969485,0.030096369,0.288135593220339,-7.59813190143177e-05,0.1110753194043249,0.4355129862588352
2,Ses01M_impro01_F004,2,0.017333327,0.03409689,0.022023125,0.025986245,0.4045801526717557,-0.0053110916269361,0.0391185356293013,0.2362391261098856
3,Ses01M_impro01_F007,0,0.038312554,0.06558642,0.047453083,0.045202073,0.3830508474576271,-0.0029937882572994,0.1985942173750357,1.2527256516734415
4,Ses01M_impro01_F008,0,0.048061863,0.083037734,0.06119635,0.05608807,0.3757763975155279,-0.007505017947551,0.3117372017673154,1.9259270067433896
5,Ses01M_impro01_F010,2,0.020712493,0.046406567,0.025852943,0.038536195,0.5919540229885057,-0.0068960171120124,0.0540145384153083,0.2822111977930523
6,Ses01M_impro01_F011,0,0.05646499,0.09669836,0.06996855,0.06636706,0.3101604278074866,-0.0482259893033187,0.4241932791937258,1.6144095576437263
7,Ses01M_impro01_F012,0,0.025998892,0.06668458,0.032480456,0.05819349,0.6867469879518072,-0.0004685852843522,0.0834936229514869,0.4543981025574061
8,Ses01M_impro01_F015,2,0.043966606,0.08029666,0.055932153,0.05757455,0.3783783783783784,-0.008162394806277,0.2602284007318456,2.9810079773058655
9,Ses01M_impro01_F019,0,0.097198635,0.19397107,0.119200744,0.15274408,0.5112540192926045,0.2322483342140913,1.2455042078972776,12.565447271224391
10,Ses01M_impro01_F020,0,0.06457472,0.13069513,0.07920802,0.10390661,0.445993031358885,-0.0720161115168593,0.5462283073536354,4.259038440885727
11,Ses01M_impro01_F021,0,0.076971,0.14237654,0.09388368,0.10684193,0.410377358490566,0.1583645935170352,0.7698805266542901,8.890108391582405
12,Ses01M_impro01_F022,0,0.112152204,0.18763338,0.137691,0.12742324,0.3311617806731813,-0.2809048455674201,1.693563303907039,34.925627736092224
13,Ses01M_impro01_F024,5,0.022685455,0.041615576,0.028707763,0.030106843,0.4125,-0.0044820039875048,0.0687477071831027,0.4545747599466702
14,Ses01M_impro01_F025,5,0.016989699,0.029621352,0.021192497,0.020654736,0.4054054054054054,-0.0108462445496115,0.0392561299784477,0.2814734703977931
