wav_file,label,sig_mean,sig_std,rmse_mean,rmse_std,silence,harmonic,auto_corr_max,auto_corr_std
Ses01M_impro01_F000,0,0.031213578,0.08417584,0.038141176,0.074892856,0.678082191780822,-0.3327673766762018,0.11615495577866237,0.6716311724233053
Ses01M_impro01_F001,0,0.028566057,0.04696335,0.035969485,0.030096369,0.288135593220339,-7.59813190143177e-05,0.11107531940432494,0.4355129862588352
Ses01M_impro01_F002,8,0.033233862,0.052774467,0.04189366,0.03202752,0.23384615384615384,-0.007963762072904501,0.15314231343889306,0.9684934579356425
Ses01M_impro01_F003,8,0.010152713,0.017512113,0.013108186,0.011582386,0.3841642228739003,-0.019876133592333645,0.013831756960838161,0.10319781828582641
Ses01M_impro01_F004,4,0.017333327,0.03409689,0.022023125,0.025986245,0.40458015267175573,-0.005311091626936104,0.03911853562930135,0.23623912610988565
Ses01M_impro01_F005,8,0.0105624655,0.023015773,0.0135105625,0.018608976,0.6545454545454545,-0.009654782843426801,0.013884178557435978,0.09805046236145418
Ses01M_impro01_F006,8,0.029961992,0.060764786,0.0378753,0.04733533,0.3632075471698113,-0.003768916030821856,0.11781273178835816,0.6588764866865064
Ses01M_impro01_F007,0,0.038312554,0.06558642,0.047453083,0.045202073,0.38305084745762713,-0.0029937882572994567,0.19859421737503577,1.2527256516734415
Ses01M_impro01_F008,0,0.048061863,0.083037734,0.06119635,0.05608807,0.37577639751552794,-0.007505017947551096,0.31173720176731545,1.9259270067433898
Ses01M_impro01_F009,8,0.028007768,0.06193493,0.03610467,0.050235253,0.6125,-0.002049356680799974,0.09920960597262551,0.6745144519408267
Ses01M_impro01_F010,4,0.020712493,0.046406567,0.025852943,0.038536195,0.5919540229885057,-0.006896017112012487,0.0540145384153083,0.2822111977930523
Ses01M_impro01_F011,0,0.05646499,0.09669836,0.06996855,0.06636706,0.31016042780748665,-0.048225989303318784,0.4241932791937258,1.6144095576437265
Ses01M_impro01_F012,0,0.025998892,0.06668458,0.032480456,0.05819349,0.6867469879518072,-0.0004685852843522298,0.08349362295148695,0.4543981025574061
Ses01M_impro01_F013,8,0.012560286,0.03001767,0.015957516,0.025368892,0.675,-0.018617784007801674,0.019331576860391393,0.08609295478242907
Ses01M_impro01_F014,8,0.024629205,0.052539833,0.030627565,0.042626176,0.6292134831460674,-0.008197761417250149,0.07743828259469644,0.9161998267443239
Ses01M_impro01_F015,4,0.043966606,0.08029666,0.055932153,0.05757455,0.3783783783783784,-0.008162394806277007,0.2602284007318456,2.9810079773058655
Ses01M_impro01_F016,8,0.030888047,0.055915263,0.038304936,0.03857527,0.3484848484848485,-0.00017657104933732626,0.1309366421226529,0.43059349646150097
Ses01M_impro01_F017,8,0.029432377,0.054792043,0.037744746,0.03955682,0.40569395017793597,-0.005650976618198911,0.1150633986687323,0.7370863448368249
Ses01M_impro01_F018,8,0.07343661,0.10634161,0.09134905,0.054315172,0.15625,-0.002025751427936484,0.7448832245740113,4.176479981307289
Ses01M_impro01_F019,0,0.097198635,0.19397107,0.119200744,0.15274408,0.5112540192926045,0.2322483342140913,1.2455042078972776,12.565447271224393
Ses01M_impro01_F020,0,0.06457472,0.13069513,0.07920802,0.10390661,0.445993031358885,-0.07201611151685938,0.5462283073536354,4.259038440885727
Ses01M_impro01_F021,0,0.076971,0.14237654,0.09388368,0.10684193,0.41037735849056606,0.15836459351703525,0.7698805266542901,8.890108391582405
Ses01M_impro01_F022,0,0.112152204,0.18763338,0.137691,0.12742324,0.3311617806731813,-0.2809048455674201,1.693563303907039,34.925627736092224
Ses01M_impro01_F023,8,0.028374633,0.04484907,0.03562958,0.0269688,0.2545454545454545,0.012294186490180437,0.11263072225879289,0.45398830454747735
Ses01M_impro01_F024,7,0.022685455,0.041615576,0.028707763,0.030106843,0.4125,-0.004482003987504868,0.06874770718310276,0.45457475994667024
Ses01M_impro01_F025,7,0.016989699,0.029621352,0.021192497,0.020654736,0.40540540540540543,-0.010846244549611583,0.039256129978447754,0.28147347039779314
Ses01M_impro01_F026,8,0.03810325,0.072942466,0.0473793,0.055234257,0.4405594405594406,-0.006193140961840982,0.19394064891115692,0.8313976142652778
Ses01M_impro01_F027,8,0.06373882,0.10309903,0.07897559,0.065121315,0.3191489361702128,-0.01591038380865939,0.5675389037537938,1.7539863120194517
Ses01M_impro01_F028,8,0.06611183,0.09598281,0.08369244,0.04679262,0.14095744680851063,0.0012250129657331854,0.6122203004297999,4.6520678556847725
Ses01M_impro01_F029,8,0.057820264,0.0917928,0.07075912,0.058330443,0.23595505617977527,-0.030731742299394682,0.46173130976372484,2.85691327307408
Ses01M_impro01_F030,8,0.016038364,0.038998436,0.020803759,0.03291016,0.6287128712871287,-0.009598741598892957,0.032044133283186206,0.2227694475775902
Ses01M_impro01_M000,4,0.021463925,0.038958896,0.02704403,0.027990807,0.3712121212121212,0.0027638532174023567,0.06148341347064144,0.3834169675633964
Ses01M_impro01_M001,4,0.019695273,0.033958916,0.024159864,0.023752907,0.42452830188679247,-0.007639909199497197,0.05307826525551181,0.2916145282743655
Ses01M_impro01_M002,4,0.03243515,0.0540303,0.0408706,0.034967903,0.26492537313432835,-0.0003323848147829267,0.14558902862188478,0.8687665984778086
Ses01M_impro01_M003,7,0.0047380826,0.008445961,0.0058906814,0.0058986414,0.24299065420560748,-0.012647328730963636,0.002976318789229279,0.020238829877898382
Ses01M_impro01_M004,8,0.0050955326,0.0083025545,0.0064252634,0.0052341623,0.058333333333333334,-0.013822676010022406,0.0035488019264285488,0.01122703927723508
Ses01M_impro01_M005,4,0.009274952,0.016376114,0.011587429,0.011548931,0.4111111111111111,-0.008190957487386186,0.011546874701462767,0.0800188505732948
Ses01M_impro01_M006,4,0.024023244,0.044275373,0.030102888,0.032435372,0.2860927152317881,-0.0039954275052878074,0.07825112476322607,1.5203286610440223
Ses01M_impro01_M007,4,0.013215736,0.021979144,0.016403409,0.014539341,0.3869047619047619,-0.0002504433211925061,0.023554675254180153,0.09188163199198406
Ses01M_impro01_M008,4,0.039441273,0.063209996,0.05028843,0.03786812,0.3368421052631579,0.0015441560208273586,0.2128022898418227,0.5139869837990855
Ses01M_impro01_M009,4,0.031939235,0.050248504,0.03937452,0.031161496,0.28602620087336245,-0.0031030451737024123,0.14291777013983542,1.4251864851712925
